image_path,label
Dataset\Dataset\Training_data\badger\badger_1.jpg,badger
Dataset\Dataset\Training_data\badger\badger_10.jpg,badger
Dataset\Dataset\Training_data\badger\badger_100.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1000.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1001.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1002.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1003.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1004.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1005.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1006.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1007.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1008.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1009.jpg,badger
Dataset\Dataset\Training_data\badger\badger_101.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1010.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1011.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1012.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1013.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1014.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1015.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1016.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1017.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1018.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1019.jpg,badger
Dataset\Dataset\Training_data\badger\badger_102.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1020.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1021.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1022.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1023.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1024.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1025.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1026.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1027.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1028.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1029.jpg,badger
Dataset\Dataset\Training_data\badger\badger_103.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1030.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1031.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1032.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1033.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1034.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1035.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1036.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1037.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1038.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1039.jpg,badger
Dataset\Dataset\Training_data\badger\badger_104.jpg,badger
Dataset\Dataset\Training_data\badger\badger_1040.jpg,badger
